نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
روح الله,مجتبایی,خزانه -هجده متری تختی - فلکه دوم - نبش ک 38,0,15,کارشناسی ارشد یا بالاتر,,49,,20
مهران,مجتبوی,خانی اباد نو . خ قنبری . ک 32,0,21,فوق دیپلم,,23,,2
حمزه,مجتهد شبستری,بلوار فردوس  غرب -  ورزی جنوبی  -  نبش کوچه نوزدهم  شرقی,0,18,کارشناسی ارشد یا بالاتر,,43,,9
كلثوم,مجتهدی,گیشا. خیابان 29.,1,23,کارشناسی (لیسانس),,15,,26
منيژه,مجرد,حکیمیه خ بهشت خ بوستان یکم,1,18,فوق دیپلم,,27,,26
پارسا,محجوب,یوسف آباد-میدان سید جمال الدین - داخل کوچه  39  -  ملک در حال ساخت,0,22,فوق دیپلم,,33,,26
سيدمحمدحسين,محجوبی,شهرری. خیابان 24متری. نبش کوچه شهید طرق رودی.,1,14,دیپلم,,37,,8
رباب,محدثی,پیروزی,1,19,دیپلم,,37,,13
طاها,محمدرضایی,متروی صادقیه ضلع جنوبی اول رحمانی,0,20,کارشناسی (لیسانس),,54,,8
نيره,محمدی,نازی آباد - خیابان کارگر سامانی -نبش تقاطع احدی - روبه روی,1,15,کارشناسی ارشد یا بالاتر,,40,,35
ياسمن,مددی,بلوار فردوس خ پروانه جنوبی ک37,1,13,دیپلم,,40,,14
آيدا,مرادخانی,خ آزادی تقاطع حبیب ا... تا دانشگاه صنعتی شریف بلوار وسط,0,18,فوق دیپلم,,39,,26
زيبا,مرتضوی,جنت اباد شمالی .از ابشناسان . ورودی ب باکری جنوبی,1,13,کارشناسی (لیسانس),,45,,32
شيرين,مستوفی,خیابان هشتم نیرو هوایی تقاطع احمد زاده,0,14,ابتدایی یا متوسطه,,45,,15
الناز,مشا,یاخچی آباد - خ شریعتی - نبش کوچه کریمی -,0,22,ابتدایی یا متوسطه,,36,,23
سينا,مصاحب,شهرک غرب . بلوار فرحزادی . خ سپهر . خ مرصاد . ک 4 غربی,0,18,ابتدایی یا متوسطه,,30,,32
شهين,مصباح,جنت اباد شمالی بهارستان 10,1,14,متوسطه,,36,,25
حجت اله,مصباح‌زاده,میدان فاطمی (جهاد)میدان فاطمی خ شهید گمنام خ پیروزه ک رادافزون شرقی,1,17,ابتدایی,,18,,0
سيدعليرضا,مطهری,چهارراه ابوسعید-خ 15 غربی-خ عدالتخواه- انتهای ک علی اکبری. اول کوچه,1,18,کارشناسی ارشد,,32,,5
يونس,مظفر,خانی اباد نو خ میعاد شمالی ک 19,0,24,دکترا,,28,,12
بهنام,معارف,شهرک ولیعصر خیابان شهدای دانش اموز,1,17,لیسانس,,45,,16
حبيب اله,معروف,ولنجک - انتهای بلوار دانشجو - خ البرز یکم - بن بست توچال -,1,12,سیکل,,18,,18
وجيهه,معین,خ 135 یا شفیعی مکرم - ک مسگر تهرانی -,1,21,کارشناسی (لیسانس),,32,,14
ياسر,مفتاح,اتوبان شیخ فضل الله زیر پل ورودی به برج میلاد,0,25,کارشناسی ارشد یا بالاتر,,35,,8
آذر,مقدم,اتوبان ازادگان شمال به جنوب نرسیده به مرکز خرید گل یاس,1,23,ابتدایی یا متوسطه,,55,,29
انسيه,ملایری,صادقیه بلوار فردوس خ عقیق ک دوم,1,19,دیپلم,,26,,22
محمدمتين,ملک,مترو صادقیه خیابان ولیعصر کوچه عابدینی,0,20,دیپلم,,22,,20
پوريا,ملکیان,نارمک . م 42 . ک شریف .,0,18,دیپلم,,23,,28
رؤيا,منوچهری,خیام جنوبی,1,20,دیپلم,,44,,23
زكيه,موحد,مسیل منوچهری . خیابان 8/40,1,17,کارشناسی (لیسانس),,52,,27
سپيده,موسوی,بلوار ابوذر خ علامه امینی جنوبی ک نوروزجم انتهای کوچه فضای سبز دو بر است,1,24,کارشناسی (لیسانس),,20,,28
سيدمحمدمهدي,موسویان,مسعودیه-خ مظاهر-کوچه نهم (شهید مردانی)-,0,13,کارشناسی (لیسانس),,41,,15
عادل,مهاجرانی,انقلاب. خ وصال. خ طالقانی.,0,15,دیپلم,,22,,7
كريم,مهدی‌پور,پیروزی . بلوار ابوذر . پل پنجم . 20 متری وحدت .,1,24,کارشناسی ارشد یا بالاتر,,19,,17
حيدر,میرباقری,تهرانپارس فلکه دوم خ فرجام  خ آهنی آمینه شمالی سرتاسر,1,12,کارشناسی (لیسانس),,41,,11
اسمعيل,میرزاده,خ سهروردی شمالی . بالاتر از خ مطهری . ک ازادی .,1,25,فوق دیپلم,,33,,11
محيا,میرسپاسی,افسریه . شهرک والفجر .,1,12,کارشناسی ارشد یا بالاتر,,20,,21
نسترن,هاشمی,خ صائب تبریزی غربی . ک نرگس . محدوده,1,16,دیپلم,,43,,17
سيدمجتبي,هاشمی رفسنجانی,شهرری خ شیر محمدی ک پارساییان,1,20,دیپلم,,29,,33
كيميا,هاشمیان,شهرک ولیعصر -میدان ایثارگران - خ چنکشی,0,20,دیپلم,,26,,35
محترم,هامون,کارگر شمالی  خ شهید صالحی  ابتدای  خ گلها  نیلوفر غربی,0,23,دیپلم,,45,,31
يداله,هدایت,خ کرمان . خ رویان . خ کاووسی,0,13,دیپلم,,26,,20
سيداميرحسين,هراتی,میدان جمهوری خ جمهوری ک کریم پور بن بست گلها,1,19,دیپلم,,18,,10
حبيبه,هروی,تجریش  نیاوران سه راه یاسر خ قمی . خ بوکان,0,24,دیپلم,,42,,26
رمضان,همایون,شریعتی - با لاتر از متروی قلهک -کوچه یزدانیان -بن بست اول,1,16,کارشناسی ارشد یا بالاتر,,55,,24
صالح,همت,خانی اباد نو . خ میعاد شمالی . ک 14 یا شهید ارشد,0,19,دیپلم,,23,,25
فرخنده,همدانی,لاله زار جنوبی,1,15,کارشناسی (لیسانس),,32,,13
سيدعباس,هوشیار,شهید رجایی بزرگراه بعثت,0,20,دیپلم,,47,,30
سيدمرتضي,هومن,ده ونک - خ شرافتی -,0,14,کارشناسی ارشد یا بالاتر,,24,,25
سيما,سروستانی,رسول فلاحی,1,18,ابتدایی یا متوسطه,,50,,32
بهزاد,سروش,خیابان جهان ارا کوچه 23,1,24,دیپلم,,36,,20
جمال,سلامت,دولت کوچه نامدار,1,25,کارشناسی ارشد یا بالاتر,,32,,18
حسام,سیف,ملاصدرا شیراز جنوبی بن بست لاله,0,22,ابتدایی یا متوسطه,,38,,27
سيدابوالفضل,سیف‌زاده,خ سردار جنگل-انتهای خیابان-ک طباطبائی-کوچه تختی,1,15,کارشناسی (لیسانس),,16,,34
عيسي,شادمهر,میدان سر آسیاب دولاب/خ کندی,1,18,کارشناسی (لیسانس),,51,,35
فرحناز,شاملو,یاغچی اباد ک فرامرز پور سیف الله سرتاسر ک,0,12,دیپلم,,33,,16
غزل,شاه‌حسینی,انتهای بزرگراه مدرس - الیه کوی گلپاد - اولین برج سمت چ,0,17,فوق دیپلم,,17,,5
نيايش,شاهی,تهران پارس - 196 شرقی - خیابان 135 جنوبی - کوچه ولایتی-,0,20,دیپلم,,21,,3
هاشم,شبستری,خ گیشا - خ سی ام - انتهای کوچه  نزدیک پارک گفتگو,0,13,دیپلم,,16,,31
سودابه,شجاعی,سعادت اباد  - میدان سرو -  میدان بهرود - تره بار بهرود,0,20,کارشناسی (لیسانس),,52,,11
سيدجواد,شرع‌پسند,سی متری جی - 10 متری عسگری - خ مولایی,0,22,ابتدایی یا متوسطه,,23,,22
مهتاب,شرف,میدان شادآباد - بعد از پل برادران اصغری,1,20,فوق دیپلم,,44,,12
جليل,شریعتمداری,هاشم اباد نبش کوچه جعفری شاد,0,22,دیپلم,,15,,6
ساناز,شریعتی,افسریه - شهرک ولفجر,0,25,ابتدایی یا متوسطه,,20,,24
صبا,شریف,خ نیروی دریایی-خ علمیه-انتهای کوچه علمیه,1,19,دیپلم,,43,,27
عبدالحسين,شریفیان,شهرک بروجردی - خ همت - دبیرستان پیروان امام علی .,1,15,ابتدایی یا متوسطه,,55,,8
مهشيد,شفا,تهرانپارس خ جشنواره خ زهدی خ امیر غربی جنب,0,18,فوق دیپلم,,29,,9
نادر,شهیدی,نازی اباد خ . تولایی اطراف م و زهره,0,16,دیپلم,,37,,31
رضيه,شیخ‌الاسلامی,دربند میدان باغ شاطر میدان سازمان اب,1,15,کارشناسی (لیسانس),,30,,34
سيده مريم,شیرازی,الهیه. سر خ خزر جنوبی . بین داد سرا و دیوار سفارت روس . داخل خیابان,1,13,دیپلم,,52,,34
عاليه,شیرمحمدی,شهرک رسالت- صالح آباد غربی - 20 متری صاحب الزمان - نبش جفاییه,0,19,دیپلم,,42,,11
فرزاد,شیروانی,دماوند -,1,13,کارشناسی (لیسانس),,47,,12
نسيم,صانعی,الهیه - ابتدای خزر- نرسیده به شریعتی - دادسرای الهیه,1,15,کارشناسی (لیسانس),,51,,29
نيما,صباغ,شهر ری - دولت اباد - فلکه دوم - خ ملک شاد - اپارتمانهای سازمان اب -,1,12,دیپلم,,37,,14
صفورا,صدر,خیابان قزوین خیابان مخصوص نبش کوچه عارف,0,14,کارشناسی (لیسانس),,40,,29
قربانعلي,صدیق,ستاری جنوب زیر پل نیایش رفیوژ وسط,1,20,کارشناسی (لیسانس),,46,,2
مبين,صدیقی,بهارستان -  خ فخر آباد -,0,16,کارشناسی (لیسانس),,39,,26
ايليا,صغیری,شاداباد خیابان هفده شهریور  - خ فرجی -,0,22,کارشناسی ارشد یا بالاتر,,22,,14
بهناز,صفوی,تقاطع خیابان سپهبد قرنی و خیابان شهید برادران شاداب,0,12,دیپلم,,48,,33
حوريه,عارف,فردوس غرب . پروانه جنوبی . سر هفدهم . روبه روی ک 19 .,1,21,دیپلم,,42,,32
شيما,عاشوری,انتهای اشرفی اصفهانی . خ طالقانی . نبش ک 13,1,22,کارشناسی (لیسانس),,38,,18
فردوس,عالی,سهروردی شمالی شهید قندی کوچه 2,1,15,کارشناسی (لیسانس),,21,,8
فيروزه,عبادی,شریعتی . بالاتر از ملک . خ کشواد . نرسیده به عبیدی . بن بست دوم,1,19,دیپلم,,45,,31
بهرام,عبدالکریمی,جیحون کمیل خ اخلاقی نبش بن بست هاشمی,1,17,کارشناسی (لیسانس),,39,,14
حسنعلي,عبدالملکی,خیابان خواجه عبدالله . خیابان تیسفون . کوچه میهن .,1,23,کارشناسی (لیسانس),,34,,17
سيدمحمود,عراقی,انتهای جنت ابادشمالی -ابتدای سیمان بولیوار-نبش کوچه قائم 4,1,15,کارشناسی (لیسانس),,54,,14
محمدياسين,عزیزی,تهرانسر خ نفت شمالی انتهای کوچه گیتی نما نانوایی لواشی,0,23,کارشناسی (لیسانس),,49,,34
مژده,عصار,شاد اباد بلوار الغدیر ابتدای خ وثوقی شرق به غرب,1,18,ابتدایی یا متوسطه,,51,,6
وحيده,کمالی,خیابان کلاهدوز - کوچه نامدار .,0,25,فوق دیپلم,,46,,22
رحيمه,کوشکی,انقلاب جمال زاده جنوبی شهید کلهر,0,23,کارشناسی (لیسانس),,21,,4
زهراالسادات,کهنمویی,کرمان جنوبی ک افغتن بین,1,22,دیپلم,,45,,34
شكوفه,کیان,دامپزشکی نرسیده به یادگار ک خ فقانی ک نیلوفر,0,17,کارشناسی ارشد یا بالاتر,,33,,18
محمدعرفان,کیانی,اتوبان مدرس جنوب به شمال نرسیده پارک وی - لاین سبقت,1,19,دیپلم,,25,,21
محمدكاظم,گل محمدی,کیانشهر - خ حداوند میرزایی جنوبی - بن بست دوم,0,22,دیپلم,,44,,25
مريم السادات,گلپایگانی,تهرانسر . پایین تراز 4 راه صدف . خ 31 . و 33,1,20,کارشناسی (لیسانس),,22,,2
منوچهر,گنجی,خ ونک کوچه خواجوی کرمانی,0,23,کارشناسی (لیسانس),,35,,25
هما,لاجوردی,خ شهید رجایی. بلوار سیزده آبان. خ رضازاده. حدفاصل خرداد یکم تا هشتم,1,18,دیپلم,,51,,26
طوبي,لاچینی,خیابان مختاری  خیابان مهلوجید قمی  بن بست مخصوص,0,13,فوق دیپلم,,52,,7
معين,لاهوتی,دلاوران - والائیان جنوبی -,0,13,دیپلم,,55,,5
بهمن,لنکرانی,دروس - خیابان هدایت - کوچه امیری کیا -,1,22,دیپلم,,41,,10
شيوا,لوکس,یادگار . ایثار گران شمال. البرز 6,0,18,فوق دیپلم,,48,,20
گوهر,مجاهد,خ وحدت اسلامی بعد از مختاری کوچه افتاب.,1,13,کارشناسی (لیسانس),,21,,17
مريم سادات,مجتبایی,شوش شرقی خ شهرزاد,0,16,کارشناسی ارشد یا بالاتر,,39,,35
ابوذر,مجتبوی,تهرانسر بلوار گلها خ کیا شمشکی یا 41شرقی,0,12,کارشناسی (لیسانس),,40,,34
پري,مجتهد شبستری,شهرری. عباس آباد. کوچه بهارسه,1,20,دیپلم,,34,,30
شهرام,مجتهدی,یافت اباد - خیابان باقری . خیابان الاله هشتم . ارغوان سوم,0,19,کارشناسی (لیسانس),,18,,4
يعقوب,مجرد,خ وحدت اسلامی -نرسیده به میدان وحدت اسلامی -روبری بانک ملی -,0,23,کارشناسی (لیسانس),,30,,22
پيمان,محجوب,اشرفی اصفهانی-خ پیامبر-انتهای خ شاهد-روبه روی,0,17,دیپلم,,19,,7
داريوش,محجوبی,خ زمزم خ حنیفه میرزایی,0,16,دیپلم,,18,,27
ستاره,محدثی,حکیم غرب به شرق و 200متر بعداز خرجی چمران لاین وسط,0,18,کارشناسی (لیسانس),,37,,28
سيدهادي,محمدرضایی,شهرک دولت آباد - بلوار قدس - خ 57 -,1,14,کارشناسی (لیسانس),,42,,24
هديه,محمدی,ضلع جنوب شرقی  چهارراه پارک وی - ابتدای بزرگراه مدرس -,1,24,کارشناسی (لیسانس),,28,,0
